Score: 2120, reachedLevel: 1
Score: 1380, reachedLevel: 0
Score: 1560, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 1500, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 6080, reachedLevel: 2
Score: 0, reachedLevel: 0
Score: 0, reachedLevel: 0
Score: 940, reachedLevel: 1
Score: 2520, reachedLevel: 1
Score: 80, reachedLevel: 0
Score: 3940, reachedLevel: 2
Score: 140, reachedLevel: 0
Score: 0, reachedLevel: 0
Score: 1040, reachedLevel: 1
Score: 3180, reachedLevel: 2
Score: 0, reachedLevel: 0
Score: 120, reachedLevel: 0
Score: 1540, reachedLevel: 0
Score: 2820, reachedLevel: 1
Score: 1440, reachedLevel: 2
Score: 1560, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 1420, reachedLevel: 2
Score: 300, reachedLevel: 0
Score: 780, reachedLevel: 1
Score: 80, reachedLevel: 0
Score: 3980, reachedLevel: 1
Score: 1680, reachedLevel: 2
Score: 600, reachedLevel: 1
Score: 1680, reachedLevel: 1
Score: 0, reachedLevel: 0
Score: 1480, reachedLevel: 1, while surviving for 166 seconds.
Score: 6980, reachedLevel: 3, while surviving for 227 seconds.
